sensor_name,location_name
SouthB_T,Southbank
QVN_T,State Library
LatWill_T,La Trobe St - William St (South)
Col623_T,Spencer St-Collins St (South)
FLDegS_T,Flinders Ln - Degraves St (South)
King335_T,I-Hub cnr King Street and La Trobe Street
Eli501_T,501 Elizabeth St
Eli250_T,250 Elizabeth St
Col15_T,Collins Place (South)
ElFi_T,Flinders St-Elizabeth St (East)
Lon189_T,Lonsdale St (South)
261Will_T,William St - Little Lonsdale St (West)
280Will_T,Flagstaff station (East)
Spen161_T,161 Spencer St
Que85_T,Queen St (West)
LtB170_T,Chinatown-Lt Bourke St (South)
ACMI_T,Flinders St - ACMI
FliSS_T,Flinders St (South)
RMIT_T,445 Swanston St
Spen229_T,Spencer Outlet Centre
AG_T,St Kilda Rd-Alexandra Gardens
Bou231_T,231 Bourke St
Col620_T,Spencer St-Collins St (North)
Fli114F_T,114 Flinders St
Spencer_T,Batman Park
Lyg309_T,Faraday St-Lygon St (West)
Spen201_T,Bourke St - Spencer St (North)
MCEC_T,Melbourne Convention Exhibition Centre
LtB210_T,Chinatown-Swanston St (North)
Col700_T,Southern Cross Station
Col254_T,Collins St (North)
Swa148_T,Little Collins St-Swanston St (East)
Spr201_T,Lonsdale St-Spring St (West)
Errol23_T,Errol St (West)
Errol20_T,Errol Street (East)
WestWP_T,Westwood Place
Lon364_T,Lonsdale St - Elizabeth St (North)
BouHbr_T,Victoria Point
FLDegC_T,Flinders Ln - Degraves St (Crossing)
Signal1647_T,Flinders Walk - Sandridge Bridge
Swa607_T,Lincoln-Swanston (W)
Vic_T,QV Market-Peel St
HarEsP_T,Harbour Esplanade - Pedestrian Path
Bou688_T,Bourke St - Spencer St (North)
King2_T,2 King St
574Qub_T,Queensberry St - Errol St (South)
FLDegN_T,Flinders Ln - Degraves St (North)
WebBN_T,Webb Bridge
Lat224_T,La Trobe St (North)
UM2_T,Monash Rd-Swanston St (West)
488Mac_T,Macaulay Rd (North)
Eli263_T,Elizabeth St-Lonsdale St (South)
UM3_T,Tin Alley-Swanston St (West)
NewQ_T,New Quay
KenMac_T,Macaulay Rd - Bellair St
AlfPl_T,Alfred Place
SprFli_T,Spring St - Flinders St (West)
HarEsB_T,Harbour Esplanade - Bike Path
Eli489_T,489-499 Elizabeth Street
Fli114C_T,114 Flinders St
BirFed1120_T,Birrarung Marr - Federation Bridge
Hammer1584_T,Hamer Hall - River Side
WatCit_T,Waterfront City
Lat526_T,I-Hub 526 La Trobe Street
BouHbr2353_T,Cnr Bourke St and Harbour Esplanade
RMIT14_T,RMIT Building 14
Bou283_T,Bourke Street Mall (South)
VAC_T,Arts Centre Melbourne
Swa295_T,Melbourne Central
Lyg161_T,Lygon St (West)
Fra118_T,QVM-Franklin St (North)
Pel147_T,Pelham St (South)
474Fl_T,474 Flinders St
Spen475_T,475 Spencer Street
Bou892T,I-Hub 892 Bourke Street
QVMQ_T,QVM-Queen St (East)
Swa31,Flinders Ln-Swanston St (W)
BirArt1109_T,Birrarung Marr - COM Pole 1109
UM1_T,Grattan St-Swanston St (West)
Lyg260_T,260 Lygon St
Col12_T,Collins Place (North)
Bourke155_T,Bourke St-Russell St (West)
Spen484_T,484 Spencer Street
Swa123_T,Town Hall (West)
PriNW_T,Princes Bridge
FliS_T,Flinders Street Station Underpass
BirBridge_T,Birrarung Marr East
SanBri_T,Sandridge Bridge
Pow61_T,61-67 Power Street Southbank
EntPark1671_T,Enterprize Park
Boyd2837_T,Boyd Park
Bou292_T,Bourke Street Mall (North)
King163_T,620 Bourke Street (7-Eleven)
Mac330_T,Macaulay Rd - Stubbs St Pumping Station
Eli368_T,Elizabeth St-La Trobe St (East)
Eli124_T,124 Elizabeth Street
Eli197_T,197 Elizabeth St (7-Eleven Store)
BirBridge_T,Birrarung Marr East
SwaCs_T,Swanston St - City Square
